SCAN_INDEX,X,Y,Z,SIGNAL_STRENGTH
0,689.732,66.362,420.487,78
0,681.976,132.852,419.263,74
0,605.307,7.017,420.194,50
0,580.007,111.663,420.029,91
0,596.055,230.011,420.43,84
0,670.6,86.001,419.447,113
0,648.772,124,419.599,98
0,594.279,11.556,420.071,58
0,556.19,124.515,419.865,89
0,654.754,208.714,419.044,7
0,637.804,152.502,418.866,26
0,568.161,132.802,419.559,72
0,567.756,151.227,419.38,11
0,518.216,84.452,419.88,78
0,666.044,335.256,420.104,22
0,669.808,20.801,419.503,14
0,557.827,45.575,419.236,3
0,688.293,200.864,420.06,96
0,457.108,65.71,419.459,4
0,666.733,16.866,419.817,13
0,630.846,61.669,419.119,79
0,493.427,67.001,420.102,89
0,690.242,210.17,419.964,49
0,651.367,130.448,419.339,48
0,596.917,41.751,432.019,12
0,657.069,317.303,420.149,103
0,548.975,171.026,419.084,5
0,691.817,264.526,435.641,4
0,678.524,25.755,419.601,9
0,680.335,246.114,419.72,90
0,634.224,35.081,420.063,62
0,612.932,192.561,418.663,1
0,518.823,132.463,419.96,91
0,526.769,135.095,420.057,111
0,627.707,39.189,420.266,75
0,695.848,266.748,444.644,11
0,648.62,1.99,419.649,11
0,660.094,261.366,420.007,116
0,625.227,83.009,419.695,108
0,649.424,83.854,417.998,84
0,661.806,324.296,419.912,20
0,591.901,208.23,419.915,100
0,449.523,40.427,421.885,104
0,565.676,181.908,418.981,15
0,524.756,58.178,419.742,74
0,576.191,42.201,419.748,78
0,534.312,114.384,420.156,81
0,491.423,101.416,419.654,44
0,643.87,47.685,420.318,72
0,676.083,304.976,424.15,60
0,602.587,14.17,420.021,57
0,521.437,60.266,419.993,89
0,588.154,135.978,419.58,53
0,571.862,1.087,419.939,73
0,683.051,123.854,419.288,69
0,634.105,52.46,439.345,1
0,550.599,130.303,420.174,101
0,412.219,12.024,434.885,34
0,642.942,192.066,418.293,1
0,698.439,34.529,419.462,9
0,666.85,278.29,425.849,39
0,573.624,115.739,419.656,53
0,693.146,229.722,418.774,4
